id,name,bio,tags,years_experience
1,Dr. Elena Vasquez,"  Former Chief Medical Officer at a top-20 US hospital system, specializing in value-based care contracting and payer negotiations.  ",Healthcare; Payer Strategy; Value-Based Care,18
2,Marcus Chen,Managing director leading mid-market M&A due diligence for industrial manufacturing targets across North America.,M&A;  Due Diligence ;Manufacturing,12 yrs
3,Priya Raman,"Fintech product leader who scaled a consumer lending platform from launch to $2B in originations; deep expertise in credit risk modeling.",fintech;credit risk;lending,9
4,James O'Brien,Retired energy-sector regulator with two decades reviewing utility rate cases and grid modernization filings.,Energy;  Regulatory ;Utilities, 20
5,Sofia Marchetti,   ,Legal;Compliance,N/A
6,David Kim,"Enterprise SaaS go-to-market advisor, former VP of Sales at a unicorn cybersecurity company, expert in land-and-expand motions.",SaaS;Cybersecurity;Sales Strategy,11
7,Aisha Bello,Semiconductor supply chain strategist with experience navigating export controls and fab capacity planning.,Semiconductors;Supply Chain;Export Controls,15
8,Robert Nakamura,Real estate investment advisor focused on distressed commercial property acquisitions and workout negotiations.,Real Estate;Distressed Assets,  7
9,Priya Raman,"Fintech product leader who scaled a consumer lending platform from launch to $2B in originations; deep expertise in credit risk modeling.",fintech;credit risk;lending,9
10,Helena Fischer,"Pharmaceutical commercialization expert, led launch strategy for three blockbuster oncology drugs.",Pharma;Oncology;Commercialization,22
11,Tomás Ibarra,Retail supply chain consultant specializing in last-mile logistics optimization for e-commerce operators.,Retail;Logistics;E-commerce, N/A
12,Grace Liu,Former partner at a Big Four firm advising on cross-border tax structuring for technology multinationals.,Tax;Cross-Border;Technology,19
13,Samuel Okafor,Cloud infrastructure architect who led migration of a Fortune 500 data center footprint to a multi-cloud strategy.,Cloud;Infrastructure;Migration,10
14,Nina Petrov,Insurance actuary specializing in catastrophe risk modeling for property and casualty carriers.,Insurance;Actuarial;Risk Modeling,14
15,Carlos Mendez,Agricultural commodities trader with two decades pricing exposure across grain and livestock futures markets.,Agriculture;Commodities;Trading,20 yrs
16,Wei Zhang,AI/ML platform advisor helping enterprises operationalize machine learning models at production scale.,AI;Machine Learning;MLOps,8
17,Fatima Al-Sayed,Healthcare payer strategy consultant with a focus on Medicare Advantage plan design and star ratings.,Healthcare; Payer Strategy ;Medicare,13
18,Liam O'Sullivan,Renewable energy project finance advisor structuring debt for utility-scale solar and wind portfolios.,Energy;Project Finance;Renewables,16
19,Anjali Desai,Consumer packaged goods brand strategist who led category expansion for two national grocery brands.,CPG;Brand Strategy;Retail,12
20,Erik Johansson,Maritime shipping and logistics advisor with expertise in port capacity planning and freight rate forecasting.,Shipping;Logistics;Freight, 9
